,major_violation_personal_hygiene,restaurant_address_address,restaurant_address_city,:@computed_region_5s6d_2f32,minor_violation_personal_hygiene,:@computed_region_x3q3_gi3e,major_violation_inadequate_cooking,major_violation_improper_holding_temperature,restaurant_address_zip,major_violation_unsafe_food_source,inspection_date,:@computed_region_3ini_iehf,w3alcd,minor_violation_unsafe_food_source,major_violation_contaminated_equipment,minor_violation_improper_holding_temperature,minor_violation_inadequate_cooking,minor_violation_contaminated_equipment,indbdate,restaurant_address_state,doing_business_as,:@computed_region_5bih_7r3y,coordinates,major_sum,minor_sum
635,0,1561 SOLANO AVE,BERKELEY,1499,0,,0,0,,0,2019-07-30T00:00:00.000,1,FA0000402,0,0,0,0,0,2019-10-14T05:00:01.000,CA,TAQUERIA TALAVERA,14,"[-122.285625, 37.891027]",0,0
636,0,3173 COLLEGE AVE,BERKELEY,1491,0,6,0,0,,0,2019-08-01T00:00:00.000,13,FA0000396,0,0,0,0,0,2019-10-14T05:00:01.000,CA,TARA'S ORGANIC ICE CREAM,1,"[-122.252512, 37.85163]",0,0
637,0,1414 UNIVERSITY AVE,BERKELEY,1494,0,1,0,0,,0,2019-05-23T00:00:00.000,8,FA0001868,0,0,0,0,0,2019-10-14T05:00:02.000,CA,TARGET,28,"[-122.283932, 37.870096]",0,0
638,0,2187 SHATTUCK AVE,BERKELEY,1496,0,1,0,0,,0,2018-08-03T00:00:00.000,11,FA0001522,0,0,0,0,0,2019-10-14T05:00:01.000,CA,TARGET EXPRESS,32,"[-122.267871, 37.869562]",0,0
639,0,2600 DURANT AVE,BERKELEY,1496,0,2,0,0,,0,2019-09-23T00:00:00.000,13,FA0002126,0,0,0,0,0,2019-10-14T05:00:02.000,CA,TARTINE,18,"[-122.256314, 37.868164]",0,0
640,0,2701 8TH ST,BERKELEY,1502,0,8,0,0,,0,2018-04-16T00:00:00.000,5,FA0001286,0,0,0,0,0,2019-10-14T05:00:01.000,CA,"TASHA DE SERIO, INC.",11,"[-122.291833, 37.856919]",0,0
641,0,1700 SHATTUCK AVE,BERKELEY,1501,0,1,0,0,,0,2019-02-26T00:00:00.000,7,FA0000120,0,0,0,0,0,2019-10-14T05:00:01.000,CA,TASTE OF THE HIMALAYAS,3,"[-122.268923, 37.876307]",0,0
642,0,2115 KITTREDGE ST,BERKELEY,1496,0,1,0,0,,0,2019-07-08T00:00:00.000,11,FA0001641,0,0,0,0,0,2019-10-14T05:00:01.000,CA,TASTY POT,32,"[-122.267188, 37.868591]",0,0
643,0,2507-B HEARST AVE,BERKELEY,1501,0,2,0,0,,0,2019-09-10T00:00:00.000,7,FA0001993,0,0,0,0,0,2019-10-14T05:00:02.000,CA,TC GARDEN,31,"[-122.26014, 37.875084]",0,0
644,0,2380 TELEGRAPH AVE,BERKELEY,1496,0,2,0,0,,0,2019-08-01T00:00:00.000,12,FA0001694,0,0,0,0,0,2019-10-14T05:00:01.000,CA,TEA 1 LLC DBA TEA 1,18,"[-122.258899, 37.867349]",0,0
645,0,1780 4TH ST,BERKELEY,1502,0,5,0,0,,0,2019-07-18T00:00:00.000,6,FA0000108,0,0,0,0,0,2019-10-14T05:00:01.000,CA,TEANCE FINE TEAS,11,"[-122.300774, 37.870368]",0,0
646,0,2552 TELEGRAPH AVE,BERKELEY,1496,0,2,0,0,,0,2019-04-18T00:00:00.000,12,FA0001192,0,0,0,0,0,2019-10-14T05:00:01.000,CA,TELEGRAPH MARKET & DELI,20,"[-122.258631, 37.864061]",0,0
647,0,2071 UNIVERSITY AVE,BERKELEY,1496,0,1,0,0,,0,2019-03-14T00:00:00.000,11,FA0001770,0,0,0,0,0,2019-10-14T05:00:02.000,CA,TENDER GREENS,3,"[-122.2689, 37.872122]",0,0
648,0,2519-F DURANT AVE,BERKELEY,1496,0,2,0,0,,0,2019-09-30T00:00:00.000,12,FA0000527,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THAI BASIL CUISINE OF THAILAND,18,"[-122.258021, 37.867935]",0,0
649,0,1277 GILMAN ST,BERKELEY,1498,0,5,0,0,,0,2019-08-13T00:00:00.000,9,FA0002104,0,0,1,0,1,2019-10-14T05:00:02.000,CA,THAI CORNER,12,"[-122.290503, 37.88154]",0,2
650,0,1700 SHATTUCK AVE,BERKELEY,1501,0,1,0,0,,0,2019-02-25T00:00:00.000,7,FA0000667,0,0,0,0,0,2019-10-14T05:00:01.000,CA,THAI DELIGHT CUISINE CO. LTD,3,"[-122.268923, 37.876307]",0,0
